
INPUT IMAGE MATRIX -- ZERO PADDED
0	203	78	62	164	0	48	157	171	0	0	0	
101	109	141	191	228	185	63	53	75	0	0	0	
201	224	212	232	107	77	248	130	43	0	0	0	
24	102	24	244	246	242	250	204	30	0	0	0	
80	74	170	37	89	198	156	90	36	0	0	0	
61	156	129	157	130	36	140	174	129	0	0	0	
100	144	60	72	221	78	19	174	40	0	0	0	
164	185	106	32	127	8	10	89	164	0	0	0	
135	240	224	27	34	152	224	66	249	0	0	0	

INPUT IMAGE 2 MATRIX -- ZERO PADDED
131	254	18	180	7	56	119	44	142	0	0	0	
80	233	198	211	115	60	217	70	46	0	0	0	
113	56	72	22	11	158	157	6	20	0	0	0	
140	193	171	201	89	187	154	57	120	0	0	0	
228	186	63	117	156	52	108	254	165	0	0	0	
45	140	113	127	254	238	152	76	225	0	0	0	
125	177	253	46	153	152	78	108	148	0	0	0	
248	130	3	48	120	11	221	252	155	0	0	0	
4	247	88	18	248	45	134	170	188	0	0	0	

DoG OUTPUT IMAGE MATRIX
131	51	60	118	157	56	71	113	29	0	0	0	
21	124	57	20	113	125	154	17	29	0	0	0	
88	168	140	210	96	81	91	124	23	0	0	0	
116	91	147	43	157	55	96	147	90	0	0	0	
148	112	107	80	67	146	48	164	129	0	0	0	
16	16	16	30	124	202	12	98	96	0	0	0	
25	33	193	26	68	74	59	66	108	0	0	0	
84	55	103	16	7	3	211	163	9	0	0	0	
131	7	136	9	214	107	90	104	61	0	0	0	
